package,exact_locked_version,role,source,license_spdx,redistribution_note,native_runtime_concerns
@malept/flatpak-bundler,0.4.0,transitive,https://registry.npmjs.org/@malept/flatpak-bundler/-/flatpak-bundler-0.4.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@napi-rs/lzma-linux-x64-gnu,1.5.1,transitive,https://registry.npmjs.org/@napi-rs/lzma-linux-x64-gnu/-/lzma-linux-x64-gnu-1.5.1.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=linux; cpu=x64
@noble/hashes,1.4.0,transitive,https://registry.npmjs.org/@noble/hashes/-/hashes-1.4.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@noble/hashes,2.3.0,transitive,https://registry.npmjs.org/@noble/hashes/-/hashes-2.3.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@peculiar/asn1-schema,2.9.4,transitive,https://registry.npmjs.org/@peculiar/asn1-schema/-/asn1-schema-2.9.4.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@peculiar/json-schema,1.1.12,transitive,https://registry.npmjs.org/@peculiar/json-schema/-/json-schema-1.1.12.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@peculiar/utils,2.0.3,transitive,https://registry.npmjs.org/@peculiar/utils/-/utils-2.0.3.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@peculiar/webcrypto,1.7.1,transitive,https://registry.npmjs.org/@peculiar/webcrypto/-/webcrypto-1.7.1.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@radix-ui/primitive,1.1.7,transitive,https://registry.npmjs.org/@radix-ui/primitive/-/primitive-1.1.7.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@radix-ui/react-compose-refs,1.1.5,transitive,https://registry.npmjs.org/@radix-ui/react-compose-refs/-/react-compose-refs-1.1.5.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@radix-ui/react-context,1.2.2,transitive,https://registry.npmjs.org/@radix-ui/react-context/-/react-context-1.2.2.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@radix-ui/react-dialog,1.1.23,transitive,https://registry.npmjs.org/@radix-ui/react-dialog/-/react-dialog-1.1.23.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@radix-ui/react-dismissable-layer,1.1.19,transitive,https://registry.npmjs.org/@radix-ui/react-dismissable-layer/-/react-dismissable-layer-1.1.19.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@radix-ui/react-focus-guards,1.1.6,transitive,https://registry.npmjs.org/@radix-ui/react-focus-guards/-/react-focus-guards-1.1.6.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@radix-ui/react-focus-scope,1.1.16,transitive,https://registry.npmjs.org/@radix-ui/react-focus-scope/-/react-focus-scope-1.1.16.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@radix-ui/react-id,1.1.4,transitive,https://registry.npmjs.org/@radix-ui/react-id/-/react-id-1.1.4.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@radix-ui/react-portal,1.1.17,transitive,https://registry.npmjs.org/@radix-ui/react-portal/-/react-portal-1.1.17.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@radix-ui/react-presence,1.1.10,transitive,https://registry.npmjs.org/@radix-ui/react-presence/-/react-presence-1.1.10.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@radix-ui/react-primitive,2.1.10,transitive,https://registry.npmjs.org/@radix-ui/react-primitive/-/react-primitive-2.1.10.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@radix-ui/react-slot,1.3.3,transitive,https://registry.npmjs.org/@radix-ui/react-slot/-/react-slot-1.3.3.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@radix-ui/react-use-callback-ref,1.1.4,transitive,https://registry.npmjs.org/@radix-ui/react-use-callback-ref/-/react-use-callback-ref-1.1.4.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@radix-ui/react-use-controllable-state,1.2.6,transitive,https://registry.npmjs.org/@radix-ui/react-use-controllable-state/-/react-use-controllable-state-1.2.6.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@radix-ui/react-use-effect-event,0.0.5,transitive,https://registry.npmjs.org/@radix-ui/react-use-effect-event/-/react-use-effect-event-0.0.5.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@radix-ui/react-use-layout-effect,1.1.4,transitive,https://registry.npmjs.org/@radix-ui/react-use-layout-effect/-/react-use-layout-effect-1.1.4.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@rollup/rollup-android-arm-eabi,4.62.4,transitive,https://registry.npmjs.org/@rollup/rollup-android-arm-eabi/-/rollup-android-arm-eabi-4.62.4.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=android; cpu=arm
@rollup/rollup-android-arm64,4.62.4,transitive,https://registry.npmjs.org/@rollup/rollup-android-arm64/-/rollup-android-arm64-4.62.4.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=android; cpu=arm64
@rollup/rollup-darwin-arm64,4.62.4,transitive,https://registry.npmjs.org/@rollup/rollup-darwin-arm64/-/rollup-darwin-arm64-4.62.4.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=darwin; cpu=arm64
@rollup/rollup-darwin-x64,4.62.4,transitive,https://registry.npmjs.org/@rollup/rollup-darwin-x64/-/rollup-darwin-x64-4.62.4.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=darwin; cpu=x64
@rollup/rollup-freebsd-arm64,4.62.4,transitive,https://registry.npmjs.org/@rollup/rollup-freebsd-arm64/-/rollup-freebsd-arm64-4.62.4.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=freebsd; cpu=arm64
@rollup/rollup-freebsd-x64,4.62.4,transitive,https://registry.npmjs.org/@rollup/rollup-freebsd-x64/-/rollup-freebsd-x64-4.62.4.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=freebsd; cpu=x64
@rollup/rollup-linux-arm-gnueabihf,4.62.4,transitive,https://registry.npmjs.org/@rollup/rollup-linux-arm-gnueabihf/-/rollup-linux-arm-gnueabihf-4.62.4.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=linux; cpu=arm
@rollup/rollup-linux-arm-musleabihf,4.62.4,transitive,https://registry.npmjs.org/@rollup/rollup-linux-arm-musleabihf/-/rollup-linux-arm-musleabihf-4.62.4.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=linux; cpu=arm
@rollup/rollup-linux-arm64-gnu,4.62.4,transitive,https://registry.npmjs.org/@rollup/rollup-linux-arm64-gnu/-/rollup-linux-arm64-gnu-4.62.4.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=linux; cpu=arm64
@rollup/rollup-linux-arm64-musl,4.62.4,transitive,https://registry.npmjs.org/@rollup/rollup-linux-arm64-musl/-/rollup-linux-arm64-musl-4.62.4.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=linux; cpu=arm64
@rollup/rollup-linux-loong64-gnu,4.62.4,transitive,https://registry.npmjs.org/@rollup/rollup-linux-loong64-gnu/-/rollup-linux-loong64-gnu-4.62.4.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=linux; cpu=loong64
@rollup/rollup-linux-loong64-musl,4.62.4,transitive,https://registry.npmjs.org/@rollup/rollup-linux-loong64-musl/-/rollup-linux-loong64-musl-4.62.4.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=linux; cpu=loong64
@rollup/rollup-linux-ppc64-gnu,4.62.4,transitive,https://registry.npmjs.org/@rollup/rollup-linux-ppc64-gnu/-/rollup-linux-ppc64-gnu-4.62.4.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=linux; cpu=ppc64
@rollup/rollup-linux-ppc64-musl,4.62.4,transitive,https://registry.npmjs.org/@rollup/rollup-linux-ppc64-musl/-/rollup-linux-ppc64-musl-4.62.4.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=linux; cpu=ppc64
@rollup/rollup-linux-riscv64-gnu,4.62.4,transitive,https://registry.npmjs.org/@rollup/rollup-linux-riscv64-gnu/-/rollup-linux-riscv64-gnu-4.62.4.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=linux; cpu=riscv64
@rollup/rollup-linux-riscv64-musl,4.62.4,transitive,https://registry.npmjs.org/@rollup/rollup-linux-riscv64-musl/-/rollup-linux-riscv64-musl-4.62.4.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=linux; cpu=riscv64
@rollup/rollup-linux-s390x-gnu,4.62.4,transitive,https://registry.npmjs.org/@rollup/rollup-linux-s390x-gnu/-/rollup-linux-s390x-gnu-4.62.4.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=linux; cpu=s390x
@rollup/rollup-linux-x64-gnu,4.62.4,transitive,https://registry.npmjs.org/@rollup/rollup-linux-x64-gnu/-/rollup-linux-x64-gnu-4.62.4.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=linux; cpu=x64
@rollup/rollup-linux-x64-musl,4.62.4,transitive,https://registry.npmjs.org/@rollup/rollup-linux-x64-musl/-/rollup-linux-x64-musl-4.62.4.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=linux; cpu=x64
@rollup/rollup-openbsd-x64,4.62.4,transitive,https://registry.npmjs.org/@rollup/rollup-openbsd-x64/-/rollup-openbsd-x64-4.62.4.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=openbsd; cpu=x64
@rollup/rollup-openharmony-arm64,4.62.4,transitive,https://registry.npmjs.org/@rollup/rollup-openharmony-arm64/-/rollup-openharmony-arm64-4.62.4.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=openharmony; cpu=arm64
@rollup/rollup-win32-arm64-msvc,4.62.4,transitive,https://registry.npmjs.org/@rollup/rollup-win32-arm64-msvc/-/rollup-win32-arm64-msvc-4.62.4.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=win32; cpu=arm64
@rollup/rollup-win32-ia32-msvc,4.62.4,transitive,https://registry.npmjs.org/@rollup/rollup-win32-ia32-msvc/-/rollup-win32-ia32-msvc-4.62.4.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=win32; cpu=ia32
@rollup/rollup-win32-x64-gnu,4.62.4,transitive,https://registry.npmjs.org/@rollup/rollup-win32-x64-gnu/-/rollup-win32-x64-gnu-4.62.4.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=win32; cpu=x64
@rollup/rollup-win32-x64-msvc,4.62.4,transitive,https://registry.npmjs.org/@rollup/rollup-win32-x64-msvc/-/rollup-win32-x64-msvc-4.62.4.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,os=win32; cpu=x64
@sindresorhus/is,4.6.0,transitive,https://registry.npmjs.org/@sindresorhus/is/-/is-4.6.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@szmarczak/http-timer,4.0.6,transitive,https://registry.npmjs.org/@szmarczak/http-timer/-/http-timer-4.0.6.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@tanstack/react-table,8.21.3,direct-runtime,https://registry.npmjs.org/@tanstack/react-table/-/react-table-8.21.3.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@tanstack/react-virtual,3.14.9,direct-runtime,https://registry.npmjs.org/@tanstack/react-virtual/-/react-virtual-3.14.9.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@tanstack/table-core,8.21.3,transitive,https://registry.npmjs.org/@tanstack/table-core/-/table-core-8.21.3.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@tanstack/virtual-core,3.17.7,transitive,https://registry.npmjs.org/@tanstack/virtual-core/-/virtual-core-3.17.7.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@types/cacheable-request,6.0.3,transitive,https://registry.npmjs.org/@types/cacheable-request/-/cacheable-request-6.0.3.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@types/d3-color,3.1.3,transitive,https://registry.npmjs.org/@types/d3-color/-/d3-color-3.1.3.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@types/d3-drag,3.0.7,transitive,https://registry.npmjs.org/@types/d3-drag/-/d3-drag-3.0.7.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@types/d3-interpolate,3.0.4,transitive,https://registry.npmjs.org/@types/d3-interpolate/-/d3-interpolate-3.0.4.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@types/d3-selection,3.0.11,transitive,https://registry.npmjs.org/@types/d3-selection/-/d3-selection-3.0.11.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@types/d3-transition,3.0.9,transitive,https://registry.npmjs.org/@types/d3-transition/-/d3-transition-3.0.9.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@types/d3-zoom,3.0.8,transitive,https://registry.npmjs.org/@types/d3-zoom/-/d3-zoom-3.0.8.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@types/debug,4.1.13,transitive,https://registry.npmjs.org/@types/debug/-/debug-4.1.13.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@types/estree,1.0.9,transitive,https://registry.npmjs.org/@types/estree/-/estree-1.0.9.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@types/fs-extra,9.0.13,transitive,https://registry.npmjs.org/@types/fs-extra/-/fs-extra-9.0.13.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@types/http-cache-semantics,4.2.0,transitive,https://registry.npmjs.org/@types/http-cache-semantics/-/http-cache-semantics-4.2.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@types/keyv,3.1.4,transitive,https://registry.npmjs.org/@types/keyv/-/keyv-3.1.4.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@types/ms,2.1.0,transitive,https://registry.npmjs.org/@types/ms/-/ms-2.1.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@types/node,22.20.1,direct-development,https://registry.npmjs.org/@types/node/-/node-22.20.1.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@types/react,19.2.14,direct-development,https://registry.npmjs.org/@types/react/-/react-19.2.14.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@types/react-dom,19.2.3,direct-development,https://registry.npmjs.org/@types/react-dom/-/react-dom-19.2.3.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@types/responselike,1.0.3,transitive,https://registry.npmjs.org/@types/responselike/-/responselike-1.0.3.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@types/trusted-types,2.0.7,transitive,https://registry.npmjs.org/@types/trusted-types/-/trusted-types-2.0.7.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@types/yauzl,2.10.3,transitive,https://registry.npmjs.org/@types/yauzl/-/yauzl-2.10.3.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@xmldom/xmldom,0.8.14,transitive,https://registry.npmjs.org/@xmldom/xmldom/-/xmldom-0.8.14.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@xyflow/react,12.11.2,direct-runtime,https://registry.npmjs.org/@xyflow/react/-/react-12.11.2.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
@xyflow/system,0.0.79,transitive,https://registry.npmjs.org/@xyflow/system/-/system-0.0.79.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
abbrev,4.0.0,transitive,https://registry.npmjs.org/abbrev/-/abbrev-4.0.0.tgz,ISC,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
agent-base,7.1.4,transitive,https://registry.npmjs.org/agent-base/-/agent-base-7.1.4.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
ajv,8.20.0,direct-runtime,https://registry.npmjs.org/ajv/-/ajv-8.20.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
ajv-formats,3.0.1,transitive,https://registry.npmjs.org/ajv-formats/-/ajv-formats-3.0.1.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
ansi-regex,5.0.1,transitive,https://registry.npmjs.org/ansi-regex/-/ansi-regex-5.0.1.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
ansi-styles,4.3.0,transitive,https://registry.npmjs.org/ansi-styles/-/ansi-styles-4.3.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
app-builder-lib,26.15.3,transitive,https://registry.npmjs.org/app-builder-lib/-/app-builder-lib-26.15.3.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
argparse,2.0.1,transitive,https://registry.npmjs.org/argparse/-/argparse-2.0.1.tgz,Python-2.0,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
aria-hidden,1.2.6,transitive,https://registry.npmjs.org/aria-hidden/-/aria-hidden-1.2.6.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
asn1js,3.0.10,transitive,https://registry.npmjs.org/asn1js/-/asn1js-3.0.10.tgz,BSD-3-Clause,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
async,3.2.6,transitive,https://registry.npmjs.org/async/-/async-3.2.6.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
async-exit-hook,2.0.1,transitive,https://registry.npmjs.org/async-exit-hook/-/async-exit-hook-2.0.1.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
asynckit,0.4.0,transitive,https://registry.npmjs.org/asynckit/-/asynckit-0.4.0.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
at-least-node,1.0.0,transitive,https://registry.npmjs.org/at-least-node/-/at-least-node-1.0.0.tgz,ISC,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
atomically,2.1.1,transitive,https://registry.npmjs.org/atomically/-/atomically-2.1.1.tgz,MIT,Retain applicable upstream license and notice obligations; review package source before redistribution.,none declared in package-lock
